"filename", "language", "Dart", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/level.dart", "Dart", 94, 1, 10, 105
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour.dart", "Dart", 238, 63, 49, 350
"/Users/philippmeyer/Documents/VSCodeProjects/app/open_earable/lib/apps_tab/parcour/parcour_chart.dart", "Dart", 587, 61, 116, 764
"Total", "-", 919, 125, 175, 1219
